week,date,day,format,angle,official_source,mini_test,utm_content,status
1,2026-07-27,lundi,video,"Votre équipe colle-t-elle des données client dans un outil d’IA?","",Lister trois catégories de données à ne jamais coller,s1-lundi-donnees-ia,a_produire_manuellement
1,2026-07-29,mercredi,source_officielle,"Protéger les renseignements saisis dans l’IA","https://www.canada.ca/fr/gouvernement/systeme/gouvernement-numerique/innovations-gouvernementales-numeriques/utilisation-responsable-ai/guide-utilisation-intelligence-artificielle-generative.html","Ouvrir le dernier prompt utilisé et vérifier s’il contient une donnée client ou exclusive",s1-mercredi-protection-donnees,a_produire_manuellement
1,2026-07-31,vendredi,demonstration,"Question du diagnostic IA sur les données sensibles","",Répondre oui/non puis nommer une première règle,s1-vendredi-question-diagnostic,a_produire_manuellement
2,2026-08-03,lundi,video,"Une charte IA utile peut-elle tenir sur une page?","",Vérifier si les usages permis interdits et la validation humaine sont nommés,s2-lundi-charte-ia,a_produire_manuellement
2,2026-08-05,mercredi,source_officielle,"Passer du risque abstrait à quatre gestes de gestion","https://www.nist.gov/itl/ai-risk-management-framework","Choisir un usage IA et noter qui le gouverne le mesure le cartographie et le gère",s2-mercredi-ai-rmf,a_produire_manuellement
2,2026-08-07,vendredi,gabarit,"Aperçu fictif de la charte IA éditable","",Repérer une règle manquante dans votre organisation,s2-vendredi-apercu-charte,a_produire_manuellement
3,2026-08-10,lundi,video,"Comment vérifier une réponse IA en 60 secondes?","",Comparer une affirmation à une source primaire et noter l’écart,s3-lundi-verification-humaine,a_produire_manuellement
3,2026-08-12,mercredi,source_officielle,"La supervision humaine avant une décision","https://www.canada.ca/fr/gouvernement/systeme/gouvernement-numerique/innovations-gouvernementales-numeriques/utilisation-responsable-ai/guide-utilisation-intelligence-artificielle-generative.html","Prendre une sortie IA récente et identifier la personne responsable de la valider",s3-mercredi-supervision-humaine,a_produire_manuellement
3,2026-08-14,vendredi,cas_formeducweb,"ForméducWeb documente une règle de validation","",Définir un type de contenu qui exige toujours une seconde lecture,s3-vendredi-cas-validation,a_produire_manuellement
4,2026-08-17,lundi,video,"Quels usages IA faut-il inscrire dans un registre?","",Nommer outil objectif données saisies responsable et fréquence de révision,s4-lundi-registre-usages,a_produire_manuellement
4,2026-08-19,mercredi,source_officielle,"Un registre léger pour rendre les usages visibles","https://ised-isde.canada.ca/site/isde/fr/guide-mise-oeuvre-pour-gestionnaires-systemes-dintelligence-artificielle","Documenter un seul usage actuel avec propriétaire et risque principal",s4-mercredi-gestion-usage,a_produire_manuellement
4,2026-08-21,vendredi,gabarit,"Aperçu fictif du registre des usages IA","",Remplir une ligne sans donnée client,s4-vendredi-apercu-registre,a_produire_manuellement
5,2026-08-24,lundi,video,"Qui approuve un nouvel outil IA dans une PME?","",Nommer une personne pour les données une pour la sécurité et une pour l’usage,s5-lundi-approbation-outil,a_produire_manuellement
5,2026-08-26,mercredi,source_officielle,"Minimiser les renseignements avant d’utiliser une application IA","https://conception.canada.ca/directives/ia/protection-securite.html","Retirer d’un scénario fictif tous les champs non nécessaires",s5-mercredi-minimisation,a_produire_manuellement
5,2026-08-28,vendredi,diagnostic,"Question du diagnostic sur l’approbation des outils","",Comparer la pratique actuelle à une règle simple d’approbation,s5-vendredi-question-approbation,a_produire_manuellement
6,2026-08-31,lundi,video,"Comment passer d’essais IA dispersés à une routine?","",Choisir un seul usage un responsable une mesure et une date de revue,s6-lundi-routine-ia,a_produire_manuellement
6,2026-09-02,mercredi,source_officielle,"Adopter l’IA de façon sûre et centrée sur l’humain","https://www.canada.ca/fr/emploi-developpement-social/ministere/rapports/2025-bonnes-pratiques-intelligence-artificielle.html","Vérifier si votre essai protège la vie privée maintient la supervision et mesure un effet utile",s6-mercredi-adoption-humaine,a_produire_manuellement
6,2026-09-04,vendredi,cas_formeducweb,"Trois actions de processus réellement appliquées par ForméducWeb","",Choisir laquelle appliquer dans les sept prochains jours,s6-vendredi-cas-90-jours,a_produire_manuellement
